sequence,filename,platform,source,title,note
1,001_D43_home_landing_v1_refined_bold_nav.svg,desktop,desktop_svg-43,官网首页,原 43 页保留并加粗
2,002_D43_identity_choice_guest_login_register_v1_refined_bold_nav.svg,desktop,desktop_svg-43,身份选择：游客 / 登录 / 注册,原 43 页保留并加粗
3,003_D43_guest_default_profile_modal_v1_refined_bold_nav.svg,desktop,desktop_svg-43,游客默认画像弹窗,原 43 页保留并加粗
4,004_D43_login_separate_v1_refined_bold_nav.svg,desktop,desktop_svg-43,独立登录页,原 43 页保留并加粗
5,005_D43_register_separate_v1_refined_bold_nav.svg,desktop,desktop_svg-43,独立注册页,原 43 页保留并加粗
6,006_D43_profile_center_public_v1_refined_bold_nav.svg,desktop,desktop_svg-43,个人中心入口,原 43 页保留并加粗
7,007_D43_profile_setup_city_modal_v1_refined_bold_nav.svg,desktop,desktop_svg-43,画像设置：城市,原 43 页保留并加粗
8,008_D43_profile_setup_family_modal_v1_refined_bold_nav.svg,desktop,desktop_svg-43,画像设置：家庭成员,原 43 页保留并加粗
9,009_D43_profile_setup_budget_modal_v1_refined_bold_nav.svg,desktop,desktop_svg-43,画像设置：预算习惯,原 43 页保留并加粗
10,010_D43_profile_memory_dashboard_v1_refined_bold_nav.svg,desktop,desktop_svg-43,记忆与画像中心,原 43 页保留并加粗
11,011_D43_feature_hub_try_first_v1_refined_bold_nav.svg,desktop,desktop_svg-43,功能页卡 / 先试试,原 43 页保留并加粗
12,012_D43_demand_chat_collection_v1_refined_bold_nav.svg,desktop,desktop_svg-43,对话式需求收集,原 43 页保留并加粗
13,013_D43_demand_chat_constraint_popup_v1_refined_bold_nav.svg,desktop,desktop_svg-43,对话内约束弹窗,原 43 页保留并加粗
14,014_D43_demand_preparse_three_plans_card_v1_refined_bold_nav.svg,desktop,desktop_svg-43,预解析三套方案卡片,原 43 页保留并加粗
15,015_D43_agent_workbench_embedded_v1_refined_bold_nav.svg,desktop,desktop_svg-43,Agent 工作台,原 43 页保留并加粗
16,016_D43_plan_result_overview_v1_refined_bold_nav.svg,desktop,desktop_svg-43,结果总览,原 43 页保留并加粗
17,017_D43_plan_compare_v1_refined_bold_nav.svg,desktop,desktop_svg-43,多方案对比,原 43 页保留并加粗
18,018_D43_route_booking_v1_refined_bold_nav.svg,desktop,desktop_svg-43,路线与预订,原 43 页保留并加粗
19,019_D43_authorization_modal_v1_refined_bold_nav.svg,desktop,desktop_svg-43,授权弹窗,原 43 页保留并加粗
20,020_D43_execution_actions_v1_refined_bold_nav.svg,desktop,desktop_svg-43,执行动作页,原 43 页保留并加粗
21,021_D43_share_calendar_collaboration_v1_refined_bold_nav.svg,desktop,desktop_svg-43,分享与日历协作,原 43 页保留并加粗
22,022_D43_collaboration_review_v1_refined_bold_nav.svg,desktop,desktop_svg-43,协作确认页,原 43 页保留并加粗
23,023_D43_trip_feedback_rating_v1_refined_bold_nav.svg,desktop,desktop_svg-43,行程评分反馈,原 43 页保留并加粗
24,024_D43_history_insights_v1_refined_bold_nav.svg,desktop,desktop_svg-43,历史与洞察,原 43 页保留并加粗
25,025_D43_place_detail_v1_refined_bold_nav.svg,desktop,desktop_svg-43,地点详情,原 43 页保留并加粗
26,026_D43_booking_checkout_v1_refined_bold_nav.svg,desktop,desktop_svg-43,预订结算,原 43 页保留并加粗
27,027_D43_emergency_replan_v1_refined_bold_nav.svg,desktop,desktop_svg-43,临时改约 / 重新规划,原 43 页保留并加粗
28,028_D43_notification_center_profile_v1_refined_bold_nav.svg,desktop,desktop_svg-43,通知中心,原 43 页保留并加粗
29,029_D43_privacy_security_profile_v1_refined_bold_nav.svg,desktop,desktop_svg-43,隐私与安全,原 43 页保留并加粗
30,030_D43_developer_console_api_key_v1_refined_bold_nav.svg,desktop,desktop_svg-43,开发者控制台 / API Key,原 43 页保留并加粗
31,031_D43_account_settings_v1_refined_bold_nav.svg,desktop,desktop_svg-43,账号设置,原 43 页保留并加粗
32,032_D43_admin_quality_dashboard_v1_refined_bold_nav.svg,desktop,desktop_svg-43,质量看板,原 43 页保留并加粗
33,033_D43_ui_design_system_v1_refined_bold_nav.svg,desktop,desktop_svg-43,UI 设计系统,原 43 页保留并加粗
34,034_D43_product_workflow_highlights_v1_refined_bold_nav.svg,desktop,desktop_svg-43,产品流程亮点,原 43 页保留并加粗
35,035_D43_task_workflow_highlights_v1_refined_bold_nav.svg,desktop,desktop_svg-43,任务工作流亮点,原 43 页保留并加粗
36,036_D43_data_requirements_matrix_v1_refined_bold_nav.svg,desktop,desktop_svg-43,数据需求矩阵,原 43 页保留并加粗
37,037_D43_modal_library_v1_refined_bold_nav.svg,desktop,desktop_svg-43,弹窗组件库,原 43 页保留并加粗
38,038_D43_status_empty_loading_error_states_v1_refined_bold_nav.svg,desktop,desktop_svg-43,状态页组件,原 43 页保留并加粗
39,039_D43_group_preferences_v1_refined_bold_nav.svg,desktop,desktop_svg-43,多人偏好设置,原 43 页保留并加粗
40,040_D43_plan_version_history_v1_refined_bold_nav.svg,desktop,desktop_svg-43,方案版本历史,原 43 页保留并加粗
41,041_D43_team_pricing_v1_refined_bold_nav.svg,desktop,desktop_svg-43,团队定价页,原 43 页保留并加粗
42,042_D43_marketing_longpage_v1_refined_bold_nav.svg,desktop,desktop_svg-43,营销长页,原 43 页保留并加粗
43,043_D43_mobile_key_flow_v1_refined_bold_nav.svg,desktop,desktop_svg-43,移动端关键流程总览,原 43 页保留并加粗
44,044_I28_home_landing_v2_desktop_nav_variant.svg,desktop,individual_svg-28,官网首页,原 28 页差异版本保留，裁切旧导航并套用 D43 导航
45,045_I28_solution_cards_v2_desktop_nav_variant.svg,desktop,individual_svg-28,方案卡片页,原 28 页差异版本保留，裁切旧导航并套用 D43 导航
46,046_I28_auth_login_register_v2_desktop_nav_variant.svg,desktop,individual_svg-28,登录注册合并原稿,原 28 页差异版本保留，裁切旧导航并套用 D43 导航
47,047_I28_onboarding_preferences_v2_desktop_nav_variant.svg,desktop,individual_svg-28,首次偏好设置,原 28 页差异版本保留，裁切旧导航并套用 D43 导航
48,048_I28_feature_hub_try_first_v2_desktop_nav_variant.svg,desktop,individual_svg-28,功能页卡 / 先试试,原 28 页差异版本保留，裁切旧导航并套用 D43 导航
49,049_I28_demand_builder_v2_desktop_nav_variant.svg,desktop,individual_svg-28,需求构建器,原 28 页差异版本保留，裁切旧导航并套用 D43 导航
50,050_I28_agent_workbench_v2_desktop_nav_variant.svg,desktop,individual_svg-28,Agent 工作台,原 28 页差异版本保留，裁切旧导航并套用 D43 导航
51,051_I28_plan_result_overview_v2_desktop_nav_variant.svg,desktop,individual_svg-28,结果总览,原 28 页差异版本保留，裁切旧导航并套用 D43 导航
52,052_I28_route_booking_v2_desktop_nav_variant.svg,desktop,individual_svg-28,路线与预订,原 28 页差异版本保留，裁切旧导航并套用 D43 导航
53,053_I28_plan_compare_v2_desktop_nav_variant.svg,desktop,individual_svg-28,多方案对比,原 28 页差异版本保留，裁切旧导航并套用 D43 导航
54,054_I28_share_calendar_v2_desktop_nav_variant.svg,desktop,individual_svg-28,分享 / 日历,原 28 页差异版本保留，裁切旧导航并套用 D43 导航
55,055_I28_history_favorites_v2_desktop_nav_variant.svg,desktop,individual_svg-28,历史收藏,原 28 页差异版本保留，裁切旧导航并套用 D43 导航
56,056_I28_profile_center_v2_desktop_nav_variant.svg,desktop,individual_svg-28,个人中心,原 28 页差异版本保留，裁切旧导航并套用 D43 导航
