platform,number,file,nav,title,source_note
desktop,1,desktop_pages_100/001_home_landing_westlake_agent.svg,首页,周末有谱：本地生活活动规划 Agent,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,2,desktop_pages_100/002_home_problem_not_search.svg,首页,这不是搜索推荐，是帮你把事做完,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,3,desktop_pages_100/003_home_demo_story_xiaoming.svg,首页,小明的周六上午 9 点,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,4,desktop_pages_100/004_home_scenario_switch.svg,首页,家庭 / 朋友双场景入口,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,5,desktop_pages_100/005_home_capability_overview.svg,首页,核心能力总览,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,6,desktop_pages_100/006_home_navigation_map.svg,首页,按照 43 页导航栏重排后的主流程,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,7,desktop_pages_100/007_home_start_demo_logged_in.svg,首页,进入演示：小明已登录,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,8,desktop_pages_100/008_feature_hub_agent_entry.svg,功能页卡,功能页卡：本地生活 Agent,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,9,desktop_pages_100/009_feature_message_input_9am.svg,功能页卡,一句话输入：今天下午帮我安排一下,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
desktop,10,desktop_pages_100/010_feature_demand_chat_collection.svg,功能页卡,对话式需求收集,整合重绘：来自 desktop_svg-43 与 individual_svg-28 的同类页面已归位，并补齐杭州西湖执行流程。
